,Country,Gender Inequality Index,IDCNTRY,IDSCHOOL,IDCLASS,IDSTUD,sex of student,how often student speak the language of the test at home,amount of books at home,computer or tablet at home,study desk at home,own room at home,internet connection at home,highest level of education of 1st parent/guardian,highest level of education of 2nd parent/guardian,how far in education student is expected to go,how often student is absent from school,how often student is tired,how often student is hungry,work on your own math,economic disadvantage,immediate area of school location,instructional days per year,total instructional time minutes,instructional days in 1 calender week,total number computers,existing science laboratory,books with different titles,access to digital learning resources,minutes spent on math homework,extra math lessons in last 12 months,math,science,math_interest,math_perception,math_benefit,science_interest,science_perception,science_benefit,belong,bully,shortage,school_support,school_problem,teacher_support,parents_support,student_motivation,grade_4,grade_8,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,HDI rank,Gender Development Index,GDI Group,HDI Female,HDI Male,Life expectancy at birth Female,Life expectancy at birth Male,Expected years of schooling Female,Expected years of schooling Male,Mean years of schooling Female,Mean years of schooling Male,Estimated  gross national income per capita,GNI Male,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament held by women,Share at least some secondary education Female,Share at least some secondary education Male,Labour force participation rate Female,Labour force participation rate Male,Youth literacy rate Female,Youth literacy rate Male,Population with at least some secondary education,Pre-primary,Primary,Secondary,Tertiary,Primary school dropout rate,Lower secondary retention,Government expenditure on education,Exports and imports,Stock of immigrants,International student mobility,International inbound tourists,Share of internet users,Share of female internet users,Lost health expectancy,"Physicians per 10,000 people","Hospital beds per 10,000 people","Pupil–teacher ratio, primary school",Primary schools with access to the Internet,Secondary schools with access to the Internet,PISA Reading,PISA Math,PISA Science,Share of vulnerable employment,Share of rural population with access to electricity,Share of population with safe drinking water,Share of population with sanitation services
24307,Malaysia,0.253,458.0,5200.0,520001.0,52000104.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,3.0,3.0,1.0,3.0,2.0,190.0,300.0,3.0,29.0,1.0,2.0,1.0,3.0,1.0,570.01419,586.7989200000002,-1.5179142708493276,-0.9963694193922068,-2.3143096752677383,-1.8192085959027853,0.2517820185882919,-2.4229872589977344,-1.0702262602387431,4.858912740111677,5.23361268186232,-0.6491171743884949,-1.1631108150189329,-0.6845781299232149,0.8493312725599045,0.894986267944918,no,yes,0.81,76.16,13.67864,10.37283,27534.098560000002,63.0,0.9717958908380916,2.0,0.7974923874389309,0.8206377439517278,78.317,74.234,14.03851,13.339789999999999,10.273430000000001,10.470289999999999,20824.622581911368,33877.30486654911,29.0,13.414000000000001,15.51724138,72.19998000000001,76.52552306,50.748000000000005,77.102,97.01853,96.69582,74.72540548,99.22442,105.2916,81.99226,45.12539,3.62044,92.18836,4.53477,123.09100000000001,10.73678855,3.00354,25832.0,81.2017,78.7267,12.514057947949164,15.357999999999999,18.8,11.6556,97.2,96.3,414.9795142,440.2075366,437.6180737,21.789,100.0,93.0,89.0
35515,Turkey,0.306,792.0,5096.0,509601.0,50960113.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,5.0,4.0,4.0,2.0,1.0,4.0,180.0,280.0,3.0,8.0,2.0,2.0,1.0,4.0,1.0,464.67337,455.16295,-3.6714526154934313,-2.224101373591023,-2.6573282719046976,-2.7531361487355084,-3.382926249056993,-2.754360874210896,-2.132784486687185,-1.9881312126194863,4.458177205979896,-2.297424519477267,-2.303760414127946,-2.765230253459522,0.3647543226187399,-0.5706320832847149,yes,yes,0.82,77.69,16.60266555,8.106819999999999,27700.89481,54.0,0.9239286215250176,4.0,0.7835054024993082,0.8480150784874163,80.563,74.72399999999998,16.01757436,17.06999044,7.27688,8.95451,17853.9719729508,37806.629200268835,17.0,26.559,17.44966443,50.15919,72.23768638,34.013000000000005,72.586,99.58643,99.90791,60.34626,32.73927,93.15498,105.99227,No Information,0.0848,94.64766,No Information,61.3945,7.044056238,0.8592700000000001,45768.0,71.0428,63.9338,13.498456691325645,18.492,28.5,16.97782,No Information,No Information,465.6316657,453.5077774,468.29961799999995,27.043000000000006,100.0,No Information,65.0
23407,Malaysia,0.253,458.0,5006.0,500601.0,50060136.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,8.0,8.0,5.0,4.0,2.0,2.0,1.0,3.0,2.0,190.0,310.0,3.0,40.0,1.0,2.0,1.0,3.0,1.0,629.8189,612.44737,-3.010895815490698,-1.0210354594517406,-2.378482057620108,-2.7531361487355084,-0.8267472781536429,-2.754360874210896,-1.5868152330754783,-0.639587313599644,3.1389829026078364,1.283057208644,1.9538421168291684,0.0483682771119306,-1.787363543757316,0.1280790742365408,no,yes,0.81,76.16,13.67864,10.37283,27534.098560000002,63.0,0.9717958908380916,2.0,0.7974923874389309,0.8206377439517278,78.317,74.234,14.03851,13.339789999999999,10.273430000000001,10.470289999999999,20824.622581911368,33877.30486654911,29.0,13.414000000000001,15.51724138,72.19998000000001,76.52552306,50.748000000000005,77.102,97.01853,96.69582,74.72540548,99.22442,105.2916,81.99226,45.12539,3.62044,92.18836,4.53477,123.09100000000001,10.73678855,3.00354,25832.0,81.2017,78.7267,12.514057947949164,15.357999999999999,18.8,11.6556,97.2,96.3,414.9795142,440.2075366,437.6180737,21.789,100.0,93.0,89.0
36913,United States,0.204,840.0,5017.0,501701.0,50170120.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,3.0,2.0,2.0,4.0,1.0,180.0,360.0,2.0,20.0,2.0,2.0,1.0,3.0,3.0,438.54217,439.37598,-1.8003628043143045,-0.0830907017125325,-1.147536750757249,1.8647764220928815,0.6721553127404718,0.5177000624848613,-1.0702262602387431,-1.4109069072205538,2.6589941825066608,2.3688300551702834,0.9681627484567348,1.540010282473744,2.357517880804725,0.1239757773159102,yes,yes,0.926,78.86,16.310389999999998,13.41344,63825.65748,17.0,0.993544801844942,1.0,0.9217149522350424,0.92770346191081,81.405,76.34100000000002,16.92108,15.71635,13.46054,13.362570000000002,50590.34292927701,77338.34193711884,19.0,19.86,23.72881356,96.07597,95.97922,56.12600000000001,68.186,No Information,No Information,96.02937,72.93408000000001,101.82144,98.95234,88.16739,No Information,No Information,4.96174,26.38873,15.39548775,4.72445,79745.92,87.2661,74.8821,17.105908282209004,26.12,28.7,14.198570000000002,No Information,No Information,505.3527705,478.2447174,502.3800319,3.837,100.0,99.0,90.0
42318,United States,0.204,840.0,5275.0,527509.0,52750913.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,7.0,6.0,5.0,3.0,3.0,1.0,4.0,3.0,187.0,420.0,3.0,90.0,1.0,2.0,1.0,3.0,3.0,560.61629,621.67417,-0.8011013781159458,-1.6734233055832026,-1.6791968639594117,-2.4940086150676777,-3.0482926390059006,-1.0459144255141508,0.4978979700372371,0.20527927130129006,-0.0248381840754527,8.59756906870177,3.6741079658467366,2.1931058056124875,3.9764683842169486,2.3606046191745507,yes,yes,0.926,78.86,16.310389999999998,13.41344,63825.65748,17.0,0.993544801844942,1.0,0.9217149522350424,0.92770346191081,81.405,76.34100000000002,16.92108,15.71635,13.46054,13.362570000000002,50590.34292927701,77338.34193711884,19.0,19.86,23.72881356,96.07597,95.97922,56.12600000000001,68.186,No Information,No Information,96.02937,72.93408000000001,101.82144,98.95234,88.16739,No Information,No Information,4.96174,26.38873,15.39548775,4.72445,79745.92,87.2661,74.8821,17.105908282209004,26.12,28.7,14.19857,No Information,No Information,505.3527705,478.2447174,502.3800319,3.837,100.0,99.0,90.0
5123,Australia,0.09699999999999999,36.0,5267.0,526705.0,52670521.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,2.0,186.0,420.0,3.0,150.0,1.0,2.0,1.0,2.0,3.0,602.42751,672.05125,-1.6792908817147298,-1.5794201724189518,-1.9400027180611368,-0.0474055941031899,-1.8171952892689225,2.269093369149427,-0.6215198619591109,-1.9881312126194863,-3.1832255150598443,-1.3040100366725476,-2.2455227480847397,-2.765230253459522,-3.3577236341468724,-2.879560258251108,yes,yes,0.944,83.44,21.95433,12.72469119,48084.84207,7.0,0.9762035605125556,1.0,0.931810956161772,0.9545252587201428,85.40299999999998,81.492,22.43083,21.48273,12.79604116,12.65123522,39286.574173284265,56953.61353311732,6.0,11.715,36.56387665,91.02507,90.94452,60.3,70.855,No Information,No Information,90.98537,164.55399,100.33898,150.31148000000005,113.14216,No Information,No Information,5.27163,45.68621,29.95361938,20.71761,9246.0,86.545,86.1214,15.186592894658599,36.778,38.4,No Information,100.0,100.0,502.6317243,491.36002520000005,502.96456280000007,10.634,100.0,No Information,76.0
38783,United States,0.204,840.0,5110.0,511005.0,51100501.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,6.0,5.0,6.0,4.0,2.0,4.0,1.0,1.0,2.0,180.0,405.0,3.0,75.0,1.0,2.0,1.0,4.0,1.0,527.71268,602.01494,1.1896394212953274,1.5859937044888002,-0.9799116702987164,-2.7531361487355084,-3.382926249056993,-2.754360874210896,-1.059896904933424,-1.9881312126194863,-3.251625911212225,-2.297424519477267,-1.2556823041664429,0.0483682771119306,-2.810973202060972,-0.642931416392467,yes,yes,0.926,78.86,16.310389999999998,13.41344,63825.65748,17.0,0.993544801844942,1.0,0.9217149522350424,0.92770346191081,81.405,76.34100000000002,16.92108,15.71635,13.46054,13.362570000000002,50590.34292927701,77338.34193711884,19.0,19.86,23.72881356,96.07597,95.97922,56.12600000000001,68.186,No Information,No Information,96.02937,72.93408000000001,101.82144,98.95234,88.16739,No Information,No Information,4.96174,26.38873,15.39548775,4.72445,79745.92,87.2661,74.8821,17.105908282209004,26.12,28.7,14.198570000000002,No Information,No Information,505.3527705,478.2447174,502.3800319,3.837,100.0,99.0,90.0
12870,Iran,0.45899999999999996,364.0,5217.0,521702.0,52170219.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,5.0,4.0,3.0,3.0,4.0,1.0,180.0,270.0,3.0,8.0,1.0,2.0,1.0,4.0,3.0,478.93385,475.1851,-3.6714526154934313,-1.960497416261953,-2.6573282719046976,-2.7531361487355084,-3.382926249056993,-2.754360874210896,-2.132784486687185,-1.9881312126194863,4.079568432757839,-2.297424519477267,-0.2212992467437787,0.0483682771119306,0.3161639095960724,0.0557797411287888,yes,yes,0.7829999999999999,76.68,14.81373,10.347489999999999,12446.66645,70.0,0.8655538720919798,5.0,0.7093174308169157,0.8194954163887544,77.885,75.593,14.5749,15.04388,10.27779,10.40977,4083.6031816690056,20636.86061401429,16.0,40.635,5.882352941,67.35319,72.83602046,17.541,71.509,97.92513,98.26797,70.15283767,53.86047,110.70754,86.31149,68.11609,4.04544,94.3111,3.95536,48.780640000000005,3.23493866,-0.78358,7295.0,70.0046,66.1502,14.05791697803538,15.844,15.6,28.524790000000003,10.6,36.3,No Information,No Information,No Information,41.425,100.0,92.0,No Information
34846,Turkey,0.306,792.0,5149.0,514904.0,51490437.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,3.0,4.0,1.0,4.0,1.0,180.0,280.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,616.7558,590.78945,-2.555683241853341,-2.6556116138586967,0.7876628948573003,2.0683549287426715,1.3783240971171915,3.410618160933572,-1.61619551385045,-1.9881312126194863,5.2938695995040925,-0.2189324687968873,10.116829154078669,-0.6204927249589661,-0.1684130403450922,-1.4139419070214752,yes,yes,0.82,77.69,16.60266555,8.106819999999999,27700.89481,54.0,0.9239286215250176,4.0,0.7835054024993082,0.8480150784874163,80.563,74.72399999999999,16.01757436,17.06999044,7.27688,8.95451,17853.9719729508,37806.629200268835,17.0,26.559,17.44966443,50.15919,72.23768638,34.013000000000005,72.586,99.58643,99.90791,60.34626,32.73927,93.15498000000001,105.99226999999999,No Information,0.0848,94.64766,No Information,61.3945,7.044056238,0.8592700000000001,45768.0,71.0428,63.9338,13.498456691325645,18.492,28.5,16.97782,No Information,No Information,465.6316657,453.5077774,468.29961799999995,27.043000000000003,100.0,No Information,65.0
27787,Oman,0.306,512.0,5227.0,522703.0,52270332.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,1.0,3.0,3.0,3.0,3.0,180.0,390.0,3.0,5.0,1.0,2.0,1.0,2.0,3.0,430.40401,476.54318,-1.0764687068109338,1.1206600694120878,-2.2501540815173904,-0.025532676466168,1.0304012197131769,-2.077753610722711,-1.5990455443828346,-1.4357001102668927,4.878025346303256,-0.7487022188779378,0.1369646421255547,-1.443273728249883,1.935114413008296,-0.642931416392467,yes,yes,0.813,77.86,14.18214,9.731845912,25944.072180000006,56.0,0.935625602687776,3.0,0.7682962791017042,0.8211578187841545,80.343,76.127,14.97261,13.70651,10.6469,9.3706,7959.235462523995,35201.07908152768,19.0,13.056,9.88372093,73.4094,63.65985,30.986,89.895,98.97943,98.35663,66.63262711,52.21419,103.39206,106.66599,38.03621,1.8595,98.35268,4.97011,100.6861,45.95442078,-9.31164,2301.0,80.1856,74.028,12.442214034162092,20.031,14.7,9.67394,100.0,100.0,No Information,No Information,No Information,2.633,100.0,90.0,No Information
