,Country,Gender Inequality Index,IDCNTRY,IDSCHOOL,IDCLASS,IDSTUD,sex of student,how often student speak the language of the test at home,amount of books at home,computer or tablet at home,study desk at home,own room at home,internet connection at home,highest level of education of 1st parent/guardian,highest level of education of 2nd parent/guardian,how far in education student is expected to go,how often student is absent from school,how often student is tired,how often student is hungry,work on your own math,economic disadvantage,immediate area of school location,instructional days per year,total instructional time minutes,instructional days in 1 calender week,total number computers,existing science laboratory,books with different titles,access to digital learning resources,minutes spent on math homework,extra math lessons in last 12 months,math,science,math_interest,math_perception,math_benefit,science_interest,science_perception,science_benefit,belong,bully,shortage,school_support,school_problem,teacher_support,parents_support,student_motivation,grade_4,grade_8,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,HDI rank,Gender Development Index,GDI Group,HDI Female,HDI Male,Life expectancy at birth Female,Life expectancy at birth Male,Expected years of schooling Female,Expected years of schooling Male,Mean years of schooling Female,Mean years of schooling Male,Estimated  gross national income per capita,GNI Male,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament held by women,Share at least some secondary education Female,Share at least some secondary education Male,Labour force participation rate Female,Labour force participation rate Male,Youth literacy rate Female,Youth literacy rate Male,Population with at least some secondary education,Pre-primary,Primary,Secondary,Tertiary,Primary school dropout rate,Lower secondary retention,Government expenditure on education,Exports and imports,Stock of immigrants,International student mobility,International inbound tourists,Share of internet users,Share of female internet users,Lost health expectancy,"Physicians per 10,000 people","Hospital beds per 10,000 people","Pupil–teacher ratio, primary school",Primary schools with access to the Internet,Secondary schools with access to the Internet,PISA Reading,PISA Math,PISA Science,Share of vulnerable employment,Share of rural population with access to electricity,Share of population with safe drinking water,Share of population with sanitation services
19951,Malaysia,0.253,458.0,5064.0,506402.0,50640205.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,2.0,191.0,450.0,3.0,27.0,1.0,2.0,1.0,4.0,1.0,584.32745,593.01303,0.4881388073461929,-0.2714272881072792,-1.7566172466985577,-2.201212267110215,-1.6754781766251108,-1.4256789308892563,-1.61619551385045,-1.7161159752278508,0.2135143862121231,-1.2413168545058602,-2.608565640617784,0.0483682771119306,0.3161639095960724,0.1239757773159102,no,yes,0.81,76.16,13.67864,10.37283,27534.09856,63.0,0.9717958908380916,2.0,0.7974923874389309,0.8206377439517278,78.317,74.234,14.03851,13.33979,10.27343,10.47029,20824.622581911368,33877.30486654911,29.0,13.414,15.51724138,72.19998000000002,76.52552306,50.74800000000001,77.102,97.01853,96.69582,74.72540548,99.22442,105.2916,81.99226,45.12539,3.62044,92.18836,4.53477,123.091,10.73678855,3.00354,25832.0,81.2017,78.7267,12.514057947949164,15.358,18.8,11.6556,97.2,96.3,414.9795142,440.2075366,437.61807369999997,21.789,100.0,93.0,89.0
7559,Egypt,0.449,818.0,5001.0,500103.0,50010332.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,8.0,8.0,6.0,1.0,1.0,3.0,2.0,2.0,1.0,135.0,300.0,3.0,22.0,1.0,1.0,1.0,2.0,2.0,311.21906,270.31011,5.0551790034894095,4.241442762795622,1.9566421887153027,4.530937352085366,3.576231293349564,4.887332793329969,3.7527616102357895,6.5832496007673935,1.311005512346139,-1.1881930702455372,-0.7632683174759762,0.0483682771119306,-0.7696192308523192,-0.642931416392467,no,yes,0.7070000000000001,71.99,13.326239999999999,7.434,11466.145120000001,117.0,0.8823332278842357,5.0,0.652050925257035,0.7390075593328846,74.35,69.742,13.31444,13.337629999999999,6.78,8.082,4752.907627366762,18039.470400234823,37.0,53.818999999999996,14.93288591,73.50695999999999,72.53537,21.933000000000003,70.858,86.81055,89.48338,72.95913,28.707620000000002,106.28493,87.91114,35.16452,2.98073,92.3208,No Information,48.27827,0.502104468,0.70563,11196.0,46.9243,41.2807,11.978154303027608,4.521,14.3,23.67945,47.6,49.1,No Information,No Information,No Information,20.721,100.0,No Information,61.0
34501,Turkey,0.306,792.0,5115.0,511503.0,51150337.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,180.0,280.0,3.0,0.0,2.0,1.0,2.0,2.0,3.0,314.39319,392.13845,-3.0293712575867904,1.5066836741850376,-2.378482057620108,-2.3711324775280778,-0.9157841863899072,-2.754360874210896,-1.0530762907711275,5.688956409259143,3.610226336659266,1.8752568887613656,7.960456346691892,2.8619668076833835,0.8493312725599045,1.5936974254661742,yes,yes,0.82,77.69,16.60266555,8.106819999999999,27700.89481,54.0,0.9239286215250176,4.0,0.7835054024993082,0.8480150784874163,80.563,74.72399999999999,16.01757436,17.06999044,7.27688,8.95451,17853.9719729508,37806.629200268835,17.0,26.559,17.44966443,50.15919,72.23768638,34.013000000000005,72.586,99.58643,99.90791,60.34626,32.73927,93.15498000000001,105.99226999999999,No Information,0.0848,94.64766,No Information,61.3945,7.044056238,0.8592700000000001,45768.0,71.0428,63.9338,13.498456691325645,18.492,28.5,16.97782,No Information,No Information,465.6316657,453.5077774,468.29961799999995,27.043000000000003,100.0,No Information,65.0
13624,Ireland,0.09300000000000001,372.0,5108.0,510807.0,51080710.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,8.0,8.0,5.0,4.0,3.0,3.0,1.0,3.0,4.0,167.0,340.0,3.0,108.0,1.0,1.0,1.0,2.0,3.0,508.00245,520.9773299999998,4.066025707519874,2.2833175899154563,-2.6573282719046976,0.8854739032293778,0.9319710368195576,-2.754360874210896,0.9973369734063569,-0.0926611698781166,-1.7446984103528187,-0.7655064083511299,-2.252953326596414,-2.765230253459522,-1.2541961807934838,0.0557797411287888,yes,yes,0.955,82.31,18.70529,12.6663305,68370.58737000001,3.0,0.9810242976135434,1.0,0.9430427884882876,0.9612838242460964,83.90899999999998,80.667,18.79073,18.62423,12.89739912,12.42200863,55540.14540196465,81400.50775398177,5.0,7.515,24.31192661,81.92398,79.94372604,55.973,68.365,No Information,No Information,81.11964622,163.43983,100.85278000000001,125.30712,77.78062,No Information,99.41767,3.71973,239.2151,17.07250084,2.23969,10926.0,84.5223,85.7,14.2244111170982,33.125,29.7,16.06046,No Information,No Information,518.0784592,499.632894,496.1135617,10.61,100.0,97.0,82.0
27536,Oman,0.306,512.0,5192.0,519210.0,51921022.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,8.0,8.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,200.0,330.0,3.0,50.0,1.0,2.0,1.0,3.0,3.0,609.16473,624.23509,-2.082600488363799,-1.101823122351494,-1.5038033477809851,-2.7531361487355084,-2.33720817382858,-2.3800474768319524,-2.132784486687185,-1.1845746195099425,-2.989957002835989,-2.297424519477267,-2.184321077210788,-2.765230253459522,-1.357242352237478,-2.180849100729852,yes,yes,0.813,77.86,14.18214,9.731845912,25944.072180000006,56.0,0.935625602687776,3.0,0.7682962791017042,0.8211578187841545,80.343,76.127,14.97261,13.70651,10.6469,9.3706,7959.235462523995,35201.07908152768,19.0,13.056,9.88372093,73.4094,63.65985,30.986,89.895,98.97943,98.35663,66.63262711,52.21419,103.39206,106.66599,38.03621,1.8595,98.35268,4.97011,100.6861,45.95442078,-9.31164,2301.0,80.1856,74.028,12.442214034162092,20.031,14.7,9.67394,100.0,100.0,No Information,No Information,No Information,2.633,100.0,90.0,No Information
45670,"United Arab Emirates, Abu Dhabi",0.079,7842.0,5334.0,533402.0,53340216.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,4.0,6.0,5.0,1.0,1.0,4.0,4.0,3.0,182.0,360.0,2.0,70.0,1.0,1.0,2.0,2.0,3.0,529.97739,542.16465,-2.069366670302564,0.7220116379643241,-2.6573282719046976,3.2667529205407653,1.123118833563388,-2.754360874210896,-0.0198983450976573,4.410153851309016,5.89359789701019,0.1903526451232902,-1.2185702691737497,-0.6204927249589661,-0.2170034533677596,-2.108549767622101,yes,yes,0.89,77.97,14.3441,12.11122,67462.0953,30.0,0.9306258727041724,3.0,0.8424034774782221,0.9052010073934464,79.314,77.291,14.81044081,14.11443511,11.6769,12.42786,28577.657802941496,84722.52253829598,3.0,6.546,50.0,76.02257,81.02851,52.39100000000001,93.389,99.11,99.64,78.91768,77.97611,108.39706000000001,104.94793,No Information,8.04099,96.76002,No Information,160.9361,87.88936607,27.741740000000004,21286.0,98.45,98.8,12.883067300255648,25.278,13.8,24.522779999999997,100.0,100.0,431.78176950000005,434.9472518999999,433.6368028,0.932,100.0,No Information,96.0
38469,United States,0.204,840.0,5096.0,509608.0,50960819.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,5.0,4.0,4.0,1.0,4.0,3.0,180.0,390.0,3.0,392.0,2.0,2.0,1.0,2.0,3.0,498.22072,449.08094000000006,-3.6714526154934313,-3.5671657545525184,-2.6573282719046976,-1.5464053496583086,-0.1607772821866352,-1.0386188400336387,-2.132784486687185,-1.7190437331763109,-0.4536754829882575,-1.3121993036208957,-0.0770730958982919,-0.6845781299232149,-1.240613111671416,0.894986267944918,yes,yes,0.926,78.86,16.310389999999998,13.41344,63825.65748,17.0,0.993544801844942,1.0,0.9217149522350424,0.92770346191081,81.405,76.34100000000002,16.92108,15.71635,13.46054,13.362570000000002,50590.34292927701,77338.34193711884,19.0,19.86,23.72881356,96.07597,95.97922,56.12600000000001,68.186,No Information,No Information,96.02937,72.93408000000001,101.82144,98.95234,88.16739,No Information,No Information,4.96174,26.38873,15.39548775,4.72445,79745.92,87.2661,74.8821,17.105908282209004,26.12,28.7,14.198570000000002,No Information,No Information,505.3527705,478.2447174,502.3800319,3.837,100.0,99.0,90.0
40099,United States,0.204,840.0,5172.0,517209.0,51720940.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,3.0,5.0,5.0,3.0,3.0,1.0,4.0,2.0,180.0,355.0,3.0,550.0,1.0,2.0,1.0,1.0,3.0,518.45275,451.8565200000001,-2.6731132116278453,-3.2789553205700086,-1.9109775381682927,1.6066969439252068,-0.8421482045366826,1.930879653350395,-0.1380234857594469,0.1940604005059422,-4.261632585875486,-0.2879966691466553,-0.5627349412324556,-0.6845781299232149,0.8493312725599045,1.5936974254661742,yes,yes,0.926,78.86,16.310389999999998,13.41344,63825.65748,17.0,0.993544801844942,1.0,0.9217149522350424,0.92770346191081,81.405,76.34100000000002,16.92108,15.71635,13.46054,13.362570000000002,50590.34292927701,77338.34193711884,19.0,19.86,23.72881356,96.07597,95.97922,56.12600000000001,68.186,No Information,No Information,96.02937,72.93408000000001,101.82144,98.95234,88.16739,No Information,No Information,4.96174,26.38873,15.39548775,4.72445,79745.92,87.2661,74.8821,17.105908282209004,26.12,28.7,14.198570000000002,No Information,No Information,505.3527705,478.2447174,502.3800319,3.837,100.0,99.0,90.0
6652,Chile,0.247,152.0,5099.0,509903.0,50990325.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,6.0,4.0,2.0,1.0,2.0,1.0,1.0,195.0,450.0,3.0,50.0,1.0,2.0,1.0,1.0,3.0,549.7862700000002,585.88353,0.5866501022050602,-0.0806890921133252,0.9477249585167492,-0.9665213028066972,-1.997088564213276,-2.4229872589977344,4.144608402967513,-0.907086512497444,-4.261632585875486,1.8752568887613656,-2.242343132200781,0.0483682771119306,-1.3027865938161518,-0.642931416392467,yes,yes,0.851,80.18,16.44755,10.58295,23261.29726,43.0,0.9627589312244506,2.0,0.8325276348416307,0.8647311469578477,82.44200000000002,77.771,16.67013,16.23049,10.47589,10.7104,16397.96495008529,30321.88498434585,13.0,41.052,22.72727273,77.77333,81.11983000000002,51.798,73.975,99.01156,99.00582,79.64660737,81.76366999999999,101.43016,101.83142,88.46441999999999,0.45466,99.25933,5.40274,56.76179000000001,4.959846535,-0.90993,5723.0,82.3275,80.7228,13.63863310222192,25.912,20.6,17.79358,No Information,No Information,452.2725542,417.4065563,443.5825634,22.694000000000006,100.0,99.0,77.0
4160,Australia,0.09699999999999999,36.0,5221.0,522105.0,52210519.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,8.0,6.0,5.0,2.0,2.0,2.0,2.0,1.0,190.0,320.0,3.0,122.0,1.0,2.0,1.0,3.0,3.0,506.85117,561.68225,4.352348577213983,1.3306356220552205,2.4846819406551908,5.343184920074855,5.1051512100522976,1.5692423904800468,0.4807480005696219,-0.8780004781242502,-0.3698991345694892,4.324175590459577,-0.5261044732336148,2.8619668076833835,0.8007408595372372,-0.642931416392467,yes,yes,0.944,83.44,21.95433,12.72469119,48084.84207,7.0,0.9762035605125556,1.0,0.931810956161772,0.9545252587201428,85.40299999999998,81.492,22.43083,21.48273,12.79604116,12.65123522,39286.574173284265,56953.61353311732,6.0,11.715,36.56387665,91.02507,90.94452,60.3,70.855,No Information,No Information,90.98537,164.55399,100.33898,150.31148000000005,113.14216,No Information,No Information,5.27163,45.68621,29.95361938,20.71761,9246.0,86.545,86.1214,15.186592894658599,36.778,38.4,No Information,100.0,100.0,502.6317243,491.36002520000005,502.96456280000007,10.634,100.0,No Information,76.0
18416,Kuwait,0.242,414.0,5100.0,510003.0,51000305.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,7.0,7.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,260.0,280.0,3.0,150.0,1.0,2.0,1.0,2.0,1.0,380.06891,488.03008,-3.3596585468045146,0.2197310823024338,-1.9266449574243585,-2.067360029742793,0.9319710368195576,-1.6633537254919566,-0.6092895506517542,2.307472438872297,1.1546018422143922,0.2036553803007972,-1.183870438896858,0.0483682771119306,0.3161639095960724,0.894986267944918,yes,yes,0.8059999999999999,75.49,14.245820000000002,7.275667996,58590.08219,62.0,0.9832069529957372,1.0,0.7930800996271221,0.8066258046799641,76.58,74.76,15.24291,13.248729999999998,7.9741,6.83248,31697.753687751327,75839.6455778024,12.0,8.193999999999999,4.615384615,56.56559,49.08439,49.683,87.512,99.50355,98.77679,51.52655,62.45247,92.36027,97.82772,54.36414,7.23455,94.11783,No Information,100.4876,72.13656113,No Information,8508.0,99.6,99.7875,13.771539274375966,26.463,20.4,8.88073,No Information,No Information,No Information,No Information,No Information,1.083,100.0,100.0,100.0
43415,"Canada, Quebec",0.08,9133.0,5034.0,503403.0,50340324.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,6.0,8.0,5.0,5.0,1.0,2.0,2.0,2.0,1.0,180.0,300.0,3.0,240.0,1.0,1.0,1.0,3.0,3.0,566.00802,575.16202,-0.6615184565548471,-0.3779310207567678,-1.9713078672328,-1.4611316005180288,-2.662818382988561,0.0990853277120229,-0.5364873179343925,-1.7190437331763109,-3.4890834584808155,3.361281951794533,0.0145707078538971,1.3703248023215704,0.8493312725599045,1.5936974254661742,yes,yes,0.929,82.43,16.15789,13.36610479,48527.03573,14.0,0.9855929026542676,1.0,0.9215525045584152,0.935023478838588,84.391,80.447,16.66986,15.66355,13.41614,13.31281,39459.204895532974,57733.57500352735,10.0,8.387,33.18284424,100.0,100.0,60.83600000000001,69.422,No Information,No Information,100.0,No Information,100.94368,113.76286,68.92251,No Information,No Information,No Information,64.97671,21.27889391,9.87913,21134.0,91.0,No Information,14.273897077836873,26.102,25.2,No Information,No Information,No Information,520.0855209,512.0169429,517.9976609,10.691,100.0,99.0,82.0
45073,"United Arab Emirates, Abu Dhabi",0.079,7842.0,5159.0,515902.0,51590225.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,7.0,6.0,5.0,5.0,3.0,2.0,3.0,1.0,3.0,182.0,390.0,3.0,88.0,1.0,2.0,1.0,3.0,1.0,367.97503,434.13738,1.2404386393080162,0.9065382086985972,-1.4770688663798237,-2.7531361487355084,0.3952678318955529,-2.024879293816201,3.5620378115757143,-1.9881312126194863,-3.224033094996668,-2.297424519477267,-2.242343132200781,-1.353439131994112,-1.2541961807934838,-1.4098386101008449,yes,yes,0.89,77.97,14.3441,12.11122,67462.0953,30.0,0.9306258727041724,3.0,0.8424034774782221,0.9052010073934464,79.314,77.291,14.81044081,14.11443511,11.6769,12.42786,28577.657802941496,84722.52253829598,3.0,6.546,50.0,76.02257,81.02851,52.39100000000001,93.389,99.11,99.64,78.91768,77.97611,108.39706000000001,104.94793,No Information,8.04099,96.76002,No Information,160.9361,87.88936607,27.741740000000004,21286.0,98.45,98.8,12.883067300255648,25.278,13.8,24.522779999999997,100.0,100.0,431.78176950000005,434.9472518999999,433.6368028,0.932,100.0,No Information,96.0
1264,Australia,0.09699999999999999,36.0,5059.0,505901.0,50590114.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,3.0,4.0,1.0,2.0,2.0,200.0,330.0,3.0,298.0,1.0,2.0,1.0,3.0,3.0,607.70588,609.6062,-0.8265725771107526,-1.2912097384364425,-2.3143096752677383,-0.6571227109430418,-2.2424450888363805,-2.4229872589977344,-0.6092895506517542,-0.1836765896251955,-4.261632585875486,-2.297424519477267,-2.303760414127946,-1.443273728249883,-0.8182096438749865,-0.642931416392467,yes,yes,0.944,83.44,21.95433,12.72469119,48084.84207,7.0,0.9762035605125556,1.0,0.931810956161772,0.9545252587201428,85.40299999999998,81.492,22.43083,21.48273,12.79604116,12.65123522,39286.574173284265,56953.61353311732,6.0,11.715,36.56387665,91.02507,90.94452,60.3,70.855,No Information,No Information,90.98537,164.55399,100.33898,150.31148000000005,113.14216,No Information,No Information,5.27163,45.68621,29.95361938,20.71761,9246.0,86.545,86.1214,15.186592894658599,36.778,38.4,No Information,100.0,100.0,502.6317243,491.36002520000005,502.96456280000007,10.634,100.0,No Information,76.0
23627,Malaysia,0.253,458.0,5048.0,504802.0,50480204.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,4.0,5.0,2.0,2.0,3.0,3.0,3.0,190.0,300.0,3.0,60.0,1.0,2.0,1.0,4.0,3.0,505.62528,559.48645,4.066025707519874,3.8001420498272167,-1.7119711254921384,-2.3711324775280778,-0.865020165930308,-1.7615288970449454,0.4807480005696219,2.1782675819009576,3.2763278901738797,0.3370665722488705,1.8093733734469517,-1.3376736530619582,0.3161639095960724,1.5936974254661742,no,yes,0.81,76.16,13.67864,10.37283,27534.098560000002,63.0,0.9717958908380916,2.0,0.7974923874389309,0.8206377439517278,78.317,74.234,14.03851,13.339789999999999,10.273430000000001,10.470289999999999,20824.622581911368,33877.30486654911,29.0,13.414000000000001,15.51724138,72.19998000000001,76.52552306,50.748000000000005,77.102,97.01853,96.69582,74.72540548,99.22442,105.2916,81.99226,45.12539,3.62044,92.18836,4.53477,123.09100000000001,10.73678855,3.00354,25832.0,81.2017,78.7267,12.514057947949164,15.357999999999999,18.8,11.6556,97.2,96.3,414.9795142,440.2075366,437.6180737,21.789,100.0,93.0,89.0
9087,Egypt,0.449,818.0,5122.0,512202.0,51220204.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,3.0,6.0,1.0,3.0,2.5,1.0,1.0,1.0,196.0,420.0,3.0,26.0,1.0,2.0,2.0,5.0,1.0,554.8016299999998,525.5704400000002,-0.5270701816288693,-2.3405530346129124,-1.7566172466985577,-1.8801638799595783,-3.0343535573141893,-2.754360874210896,-0.5261579626290738,-1.9881312126194863,7.734768231488544,2.3455358917984865,10.116829154078669,2.8619668076833835,1.8729409308635605,1.5936974254661742,no,yes,0.7070000000000001,71.99,13.326239999999999,7.434,11466.145120000001,117.0,0.8823332278842357,5.0,0.652050925257035,0.7390075593328846,74.35,69.742,13.31444,13.337629999999999,6.78,8.082,4752.907627366762,18039.470400234823,37.0,53.818999999999996,14.93288591,73.50695999999999,72.53537,21.933000000000003,70.858,86.81055,89.48338,72.95913,28.70762,106.28493,87.91114,35.16452,2.98073,92.3208,No Information,48.27827,0.502104468,0.70563,11196.0,46.9243,41.2807,11.97815430302761,4.521,14.3,23.67945,47.6,49.1,No Information,No Information,No Information,20.721,100.0,No Information,61.0
33644,Turkey,0.306,792.0,5038.0,503801.0,50380108.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,5.0,6.0,5.0,2.0,3.0,3.0,4.0,2.0,180.0,280.0,1.0,0.0,2.0,1.0,1.0,4.0,1.0,507.74389,544.23555,1.6911771495892145,0.0479111130367219,-0.3447988589903901,2.2858223264606004,0.2378429368965794,-2.0438444207506885,-1.61619551385045,-1.9881312126194863,1.3373277862496755,-1.2357854113882507,-2.608565640617784,-2.11213473032078,-0.1684130403450922,-1.341642573913723,yes,yes,0.82,77.69,16.60266555,8.106819999999999,27700.89481,54.0,0.9239286215250176,4.0,0.7835054024993082,0.8480150784874163,80.563,74.72399999999999,16.01757436,17.06999044,7.27688,8.95451,17853.9719729508,37806.629200268835,17.0,26.559,17.44966443,50.15919,72.23768638,34.013000000000005,72.586,99.58643,99.90791,60.34626,32.73927,93.15498000000001,105.99226999999999,No Information,0.0848,94.64766,No Information,61.3945,7.044056238,0.8592700000000001,45768.0,71.0428,63.9338,13.498456691325645,18.492,28.5,16.97782,No Information,No Information,465.6316657,453.5077774,468.29961799999995,27.043000000000003,100.0,No Information,65.0
18231,Kuwait,0.242,414.0,5042.0,504205.0,50420514.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,300.0,315.0,3.0,26.0,1.0,1.0,1.0,3.0,2.0,252.97497,325.68648,4.312061667380871,3.825758989695845,7.677645228381293,1.0846942083405682,0.9319710368195576,1.5634063565573222,5.707812975083232,0.4873533834729376,3.448557508234128,-2.297424519477267,5.466129128857774,-2.0963692513886265,0.8493312725599045,3.1316151098035587,yes,yes,0.8059999999999999,75.49,14.245820000000002,7.275667996,58590.08219,62.0,0.9832069529957372,1.0,0.7930800996271221,0.8066258046799641,76.58,74.76,15.24291,13.248729999999998,7.9741,6.83248,31697.753687751327,75839.6455778024,12.0,8.193999999999999,4.615384615,56.56559,49.08439,49.683,87.512,99.50355,98.77679,51.52655,62.45247,92.36027,97.82772,54.36414,7.23455,94.11783,No Information,100.4876,72.13656113,No Information,8508.0,99.6,99.7875,13.771539274375966,26.463,20.4,8.88073,No Information,No Information,No Information,No Information,No Information,1.083,100.0,100.0,100.0
24102,Malaysia,0.253,458.0,5171.0,517108.0,51710807.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,1.0,191.0,330.0,3.0,20.0,1.0,2.0,1.0,4.0,2.0,529.69767,593.2242,-1.7771999041301612,0.931330108846703,-2.378482057620108,-2.7531361487355084,1.0622400292830942,-2.754360874210896,1.4876539637683173,3.83197190377066,5.152528319813325,-1.2357854113882507,-2.608565640617784,-0.6845781299232149,-1.787363543757316,-0.642931416392467,no,yes,0.81,76.16,13.67864,10.37283,27534.098560000002,63.0,0.9717958908380916,2.0,0.7974923874389309,0.8206377439517278,78.317,74.234,14.03851,13.339789999999999,10.273430000000001,10.470289999999999,20824.622581911368,33877.30486654911,29.0,13.414000000000001,15.51724138,72.19998000000001,76.52552306,50.748000000000005,77.102,97.01853,96.69582,74.72540548,99.22442,105.2916,81.99226,45.12539,3.62044,92.18836,4.53477,123.09100000000001,10.73678855,3.00354,25832.0,81.2017,78.7267,12.514057947949164,15.357999999999999,18.8,11.6556,97.2,96.3,414.9795142,440.2075366,437.6180737,21.789,100.0,93.0,89.0
13334,Ireland,0.09300000000000001,372.0,5053.0,505301.0,50530121.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,4.0,3.0,3.0,1.0,2.0,2.0,167.0,348.0,3.0,32.0,1.0,1.0,1.0,3.0,3.0,611.98498,638.37036,1.173524714332152,-2.321914544381462,-0.6696673351944826,2.207305937619726,-1.1370062710376567,1.1559147092564552,-0.513927651321717,-1.7161159752278508,-3.883986861919488,0.7054178136580636,-1.4609315813985633,2.8619668076833835,0.2539904274513368,-0.5706320832847149,yes,yes,0.955,82.31,18.70529,12.6663305,68370.58737000001,3.0,0.9810242976135434,1.0,0.9430427884882876,0.9612838242460964,83.90899999999998,80.667,18.79073,18.62423,12.89739912,12.42200863,55540.14540196465,81400.50775398177,5.0,7.515,24.31192661,81.92398,79.94372604,55.973,68.365,No Information,No Information,81.11964622,163.43983,100.85278000000001,125.30712,77.78062,No Information,99.41767,3.71973,239.2151,17.07250084,2.23969,10926.0,84.5223,85.7,14.2244111170982,33.125,29.7,16.06046,No Information,No Information,518.0784592,499.632894,496.1135617,10.61,100.0,97.0,82.0
37708,United States,0.204,840.0,5062.0,506210.0,50621025.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,4.0,2.0,3.0,2.0,4.0,3.0,176.0,420.0,3.0,100.0,1.0,2.0,1.0,2.0,3.0,416.14776,542.05313,4.721144056949119,1.83454467922832,4.816997157942716,1.3509292042018632,-0.7515320150203161,5.961501919544765,0.5364002638193683,-0.0689710153938435,-0.0975373283331037,0.7904466284155525,0.2979825877163379,0.0483682771119306,0.8493312725599045,1.5936974254661742,yes,yes,0.926,78.86,16.310389999999998,13.41344,63825.65748,17.0,0.993544801844942,1.0,0.9217149522350424,0.92770346191081,81.405,76.34100000000002,16.92108,15.71635,13.46054,13.362570000000002,50590.34292927701,77338.34193711884,19.0,19.86,23.72881356,96.07597,95.97922,56.12600000000001,68.186,No Information,No Information,96.02937,72.93408000000001,101.82144,98.95234,88.16739,No Information,No Information,4.96174,26.38873,15.39548775,4.72445,79745.92,87.2661,74.8821,17.105908282209004,26.12,28.7,14.198570000000002,No Information,No Information,505.3527705,478.2447174,502.3800319,3.837,100.0,99.0,90.0
10693,Hong Kong,,344.0,5120.0,512004.0,51200418.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,8.0,4.0,5.0,1.0,1.0,1.0,3.0,2.0,2.0,140.0,360.0,3.0,100.0,1.0,1.0,1.0,6.0,2.0,457.76857,504.4594,4.312061667380871,4.854995996806202,0.2770659519311596,3.5708550147033407,3.872285159651869,3.0013871082800665,1.3800617531309238,-0.1514758000006506,-3.646384094805685,1.8752568887613656,-1.5498773362606455,1.3703248023215704,0.8493312725599045,0.894986267944918,yes,yes,0.949,84.86,16.929470000000002,12.27996,62984.76553,4.0,0.9723231390489696,2.0,0.9328290182028116,0.9593816918881646,87.74700000000001,81.971,17.145429999999998,16.75865,11.90943,12.74265,45960.599336583655,82992.88075474798,No Information,2.705,No Information,77.0914338,82.9151,53.984,67.507,No Information,No Information,79.40018,106.40481,108.61766999999999,107.48978999999999,76.92223,1.30122,98.97154,3.32259,352.8222,39.56687825,-0.69727,29263.0,89.4159,88.0177,No Information,No Information,No Information,13.347879999999998,99.2,95.2,524.2831172,551.1542742,516.6861296,5.7170000000000005,100.0,No Information,No Information
