variable,loading
MAT\AGREE\ENJOY LEARNING MATHEMATICS,0.8572018391921401
MAT\AGREE\WISH HAVE NOT TO STUDY MATH,0.598408617627131
MAT\AGREE\MATH IS BORING,0.7085972259676963
MAT\AGREE\LEARN INTERESTING THINGS,0.7203406099626661
MAT\AGREE\LIKE MATHEMATICS,0.9016461331452039
MAT\AGREE\SCHOOLWORK INVOLVES NUMBERS,0.7840829092821364
MAT\AGREE\LIKE MATH PROBLEMS,0.808882839668663
MAT\AGREE\LOOK FORWARD TO MATH LESSONS,0.8553370520934882
MAT\AGREE\MATH FAVORITE SUBJECT,0.849833333338547
