,Country,Gender Inequality Index,IDCNTRY,IDSCHOOL,IDCLASS,IDSTUD,sex of student,how often student speak the language of the test at home,amount of books at home,computer or tablet at home,study desk at home,own room at home,internet connection at home,how often student is tired,how often student is hungry,how often student works on his/her own in math,how often conduct experiments in science,economic disadvantage,immediate area of school location,instructional days per year,total instructional time minutes,instructional days in 1 calender week,total number computers,existing science laboratory,books with different titles,access to digital learning resources,math,science,math_interest,math_perception,math_teacher,science_interest,science_perception,science_teacher,belong,bully,shortage,primary_compedency,school_problem,teacher_support,parents_support,student_motivation,grade_4,grade_8,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,HDI rank,Gender Development Index,GDI Group,HDI Female,HDI Male,Life expectancy at birth Female,Life expectancy at birth Male,Expected years of schooling Female,Expected years of schooling Male,Mean years of schooling Female,Mean years of schooling Male,Estimated  gross national income per capita,GNI Male,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament held by women,Share at least some secondary education Female,Share at least some secondary education Male,Labour force participation rate Female,Labour force participation rate Male,Youth literacy rate Female,Youth literacy rate Male,Population with at least some secondary education,Pre-primary,Primary,Secondary,Tertiary,Primary school dropout rate,Lower secondary retention,Government expenditure on education,Exports and imports,Stock of immigrants,International student mobility,International inbound tourists,Share of internet users,Share of female internet users,Lost health expectancy,"Physicians per 10,000 people","Hospital beds per 10,000 people","Pupil–teacher ratio, primary school",Primary schools with access to the Internet,Secondary schools with access to the Internet,PISA Reading,PISA Math,PISA Science,Share of vulnerable employment,Share of rural population with access to electricity,Share of population with safe drinking water,Share of population with sanitation services
3502,Canada,0.08,124.0,5649.0,564906.0,56490608.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,182.0,300.0,3.0,60.0,2.0,2.0,1.0,540.20251,557.16673,-2.0410035038248515,-2.3999999549951703,-1.3057409443139285,-2.0440221580097737,-1.9086357809833896,-1.3359162028927056,-0.930876902079648,0.4907623199304615,-3.9156131778893615,1.428872641214435,0.07427149422396499,0.0181006465050284,-1.2230738665078904,-0.6717767916423836,yes,no,0.929,82.43,16.15789,13.36610479,48527.03573,14.0,0.9855929026542676,1.0,0.9215525045584152,0.935023478838588,84.391,80.447,16.66986,15.66355,13.41614,13.31281,39459.204895532974,57733.57500352735,10.0,8.387,33.18284424,100.0,100.0,60.83600000000001,69.422,No Information,No Information,100.0,No Information,100.94368,113.76286,68.92251,No Information,No Information,No Information,64.97671,21.27889391,9.87913,21134.0,91.0,No Information,14.273897077836873,26.101999999999997,25.2,No Information,No Information,No Information,520.0855209,512.0169429,517.9976609,10.691,100.0,99.0,82.0
54959,United Arab Emirates,0.079,784.0,5597.0,559701.0,55970110.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,183.0,325.0,3.0,50.0,1.0,2.0,1.0,461.89911,338.25479,4.127604431993399,-0.4974270810899771,5.680833141692302,-0.8613175104461092,0.4533371305976301,-0.7609384766265876,4.6807884397120985,5.730935534053631,2.349526370202505,-2.883833717972044,-0.7009106549703862,0.0181006465050284,-0.6369668504368164,0.1613109819493966,yes,yes,0.89,77.97,14.3441,12.11122,67462.0953,30.0,0.9306258727041724,3.0,0.8424034774782221,0.9052010073934464,79.314,77.291,14.81044081,14.11443511,11.6769,12.42786,28577.657802941496,84722.52253829598,3.0,6.546,50.0,76.02257,81.02851,52.39100000000001,93.389,99.11,99.64,78.91768,77.97610999999998,108.39706,104.94793,No Information,8.040989999999999,96.76002,No Information,160.9361,87.88936607,27.741740000000004,21286.0,98.45,98.8,12.883067300255648,25.278,13.8,24.52278,100.0,100.0,431.78176950000005,434.94725189999986,433.6368028,0.932,100.0,No Information,96.0
5004,Canada,0.08,124.0,5384.0,538403.0,53840315.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,3.0,1.0,194.0,300.0,3.0,20.0,2.0,2.0,1.0,502.6058,475.69215,-1.2325328404533469,0.0011238936114247,-0.3450643390568502,1.197290388408134,3.2708890686376444,-0.1153398138415869,-0.3551631642669463,-0.6162691647790367,0.2028940308979942,-3.884698338087424,0.5393785117899499,-2.098122225729269,-0.657560503390679,0.1613109819493966,yes,no,0.929,82.43,16.15789,13.36610479,48527.03573,14.0,0.9855929026542676,1.0,0.9215525045584152,0.935023478838588,84.391,80.447,16.66986,15.66355,13.41614,13.31281,39459.204895532974,57733.57500352735,10.0,8.387,33.18284424,100.0,100.0,60.83600000000001,69.422,No Information,No Information,100.0,No Information,100.94368,113.76286,68.92251,No Information,No Information,No Information,64.97671,21.27889391,9.87913,21134.0,91.0,No Information,14.273897077836873,26.101999999999997,25.2,No Information,No Information,No Information,520.0855209,512.0169429,517.9976609,10.691,100.0,99.0,82.0
13173,Finland,0.047,246.0,5185.0,518501.0,51850116.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,188.0,225.0,3.0,40.0,2.0,2.0,1.0,568.44825,607.70424,5.30874699711097,2.22701648258388,0.0420123730832468,0.4958956602979926,-0.239937775230609,-1.3359162028927056,0.690513144367728,-1.7402330024730128,2.157100680126011,-1.3778566372301646,1.9492464046753004,1.5482829689037174,-0.6723392020581712,1.7107762893875955,yes,yes,0.938,81.91,19.39712,12.82413,48511.3978,11.0,0.9899190976379478,1.0,0.9324888493432364,0.9419849072194424,84.71799999999998,79.09100000000002,20.20295,18.62983,12.99106,12.64766,40758.7551517039,56485.02918287682,3.0,5.813,47.0,100.0,100.0,55.542,62.773,No Information,No Information,100.0,83.58174,100.15464,153.96358,88.19783000000002,0.19134,99.85605,6.89735,79.46667,6.925256627,4.48993,3224.0,88.89,87.6452,14.081805662474068,38.118,36.1,13.666879999999999,100.0,100.0,520.0787482,507.3013618,521.884563,9.585,100.0,100.0,99.0
59249,United States,0.204,840.0,5251.0,525101.0,52510128.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,4.0,185.0,360.0,3.0,54.0,2.0,2.0,1.0,636.86202,630.0500099999998,0.8087160318429746,-0.8002865752573322,-1.3057409443139285,8.099629076647558,2.710935496611205,1.2105103537420827,-0.2851385836205172,1.2256373836867482,3.870425172528415,-2.8777732610775875,1.1061285987484402,0.0181006465050284,-1.2230738665078904,-0.6717767916423836,yes,yes,0.9259999999999999,78.86,16.310389999999998,13.41344,63825.657479999994,17.0,0.993544801844942,1.0,0.9217149522350424,0.92770346191081,81.405,76.34100000000001,16.92108,15.71635,13.46054,13.362570000000002,50590.34292927701,77338.34193711884,19.0,19.86,23.72881356,96.07597,95.97922,56.126000000000005,68.186,No Information,No Information,96.02937,72.93408000000001,101.82144,98.95234,88.16739,No Information,No Information,4.96174,26.38873,15.39548775,4.72445,79745.92,87.2661,74.8821,17.105908282209004,26.12,28.7,14.198570000000002,No Information,No Information,505.3527705,478.24471739999996,502.3800319,3.8369999999999997,100.0,99.0,90.0
42606,South Korea,0.064,410.0,5142.0,514204.0,51420421.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,191.0,208.0,3.0,85.0,1.0,2.0,1.0,561.76627,601.98402,2.7162301476987905,2.9335974506305043,1.4038320946581413,2.543493342440553,0.5280013766812531,1.2412169221690204,-0.9638693062731012,0.8393084838036005,-2.233193027321592,-0.5690765142939836,1.6991143960141724,0.0181006465050284,0.4924687633798831,0.1613109819493966,yes,yes,0.916,83.03,16.48165,12.21376462,43043.71057,22.0,0.9361131436640374,3.0,0.8805218558850386,0.9406147770114528,85.954,79.935,15.91375,16.97458,11.4283,12.87406,27734.21594911961,58309.27944080957,11.0,1.379,16.66666667,80.43655096,95.46899485,52.892,73.102,No Information,No Information,86.04469609,94.9852,98.0886,100.33825,94.34969,0.52357,99.34073000000001,4.59437,76.7094,2.271640807,-1.10327,15347.0,95.8983,94.6165,12.771455008615133,23.608,124.3,16.28669,100.0,100.0,514.0522882,525.933002,519.0072549,19.041,100.0,98.0,100.0
18961,Hong Kong,,344.0,5081.0,508105.0,50810523.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,1.0,190.0,305.0,3.0,100.0,2.0,2.0,1.0,558.87491,462.83371,1.99142090935448,2.934292595452392,4.703078405822202,-0.2853253135248352,2.407842854016224,-0.9792828512443452,1.2892934410137389,-0.5142292351084559,3.555314139345938,-0.1387886977837731,0.5956417948151944,0.7064896837263648,-0.0376722481159733,0.1613109819493966,yes,yes,0.949,84.86,16.929470000000002,12.27996,62984.76553,4.0,0.9723231390489696,2.0,0.9328290182028116,0.9593816918881646,87.74700000000001,81.971,17.145429999999998,16.75865,11.90943,12.74265,45960.599336583655,82992.88075474798,No Information,2.705,No Information,77.0914338,82.9151,53.984,67.507,No Information,No Information,79.40018,106.40481,108.61766999999999,107.48978999999999,76.92223,1.30122,98.97154,3.32259,352.8222,39.56687825,-0.69727,29263.0,89.4159,88.0177,No Information,No Information,No Information,13.347879999999998,99.2,95.2,524.2831172,551.1542742,516.6861296,5.7170000000000005,100.0,No Information,No Information
30152,Oman,0.306,512.0,5167.0,516707.0,51670729.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,175.0,320.0,3.0,19.0,2.0,2.0,1.0,640.62822,676.86516,-2.3835660993161785,-0.5900639143320789,-0.9492663808927572,-2.0440221580097737,-2.2148863152751384,-1.3359162028927056,-0.3881555684603992,-1.7402330024730128,-2.698423291838136,-0.8978927119350347,-1.900133417652056,-2.200470713114997,-1.7738085309576093,-0.6717767916423836,yes,yes,0.813,77.86,14.18214,9.731845912,25944.072180000006,56.0,0.935625602687776,3.0,0.7682962791017042,0.8211578187841545,80.343,76.127,14.97261,13.70651,10.6469,9.3706,7959.235462523995,35201.07908152768,19.0,13.056,9.88372093,73.4094,63.65985,30.986,89.895,98.97943,98.35663,66.63262711,52.21419,103.39206,106.66599,38.03621,1.8595,98.35268,4.97011,100.6861,45.95442078,-9.31164,2301.0,80.1856,74.028,12.442214034162092,20.031,14.7,9.67394,100.0,100.0,No Information,No Information,No Information,2.633,100.0,90.0,No Information
15928,Finland,0.047,246.0,5227.0,522702.0,52270212.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,4.0,187.0,288.0,3.0,18.0,2.0,1.0,1.0,475.29212,581.5387,2.3267904083604183,-0.3626098369009601,2.3499799302713043,2.0925515420334158,0.1424528548769389,-1.3359162028927056,0.1843887904985633,1.9494006484617112,-0.8906150973574113,-0.0656953909375521,0.2156332204654296,0.6985803824861158,0.4924687633798831,0.963157702651944,yes,yes,0.938,81.91,19.39712,12.82413,48511.3978,11.0,0.9899190976379478,1.0,0.9324888493432364,0.9419849072194424,84.71799999999998,79.09100000000002,20.20295,18.62983,12.99106,12.64766,40758.7551517039,56485.02918287682,3.0,5.813,47.0,100.0,100.0,55.542,62.773,No Information,No Information,100.0,83.58174,100.15464,153.96358,88.19783000000002,0.19134,99.85605,6.89735,79.46667,6.925256627,4.48993,3224.0,88.89,87.6452,14.081805662474068,38.118,36.1,13.666879999999999,100.0,100.0,520.0787482,507.3013618,521.884563,9.585,100.0,100.0,99.0
4201,Canada,0.08,124.0,5294.0,529404.0,52940410.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0,181.0,336.0,3.0,180.0,2.0,2.0,1.0,598.83523,581.74167,-2.3835660993161785,-2.3414923570701696,-0.0973368606421142,-1.33927298088498,0.1593687124574095,0.8939557404939606,-1.4699936601422654,-1.7402330024730128,-1.4509461191585216,1.940942257367956,-0.7001945548424432,2.1343235187393264,1.02260977487574,0.1300699290601639,yes,no,0.929,82.43,16.15789,13.36610479,48527.03573,14.0,0.9855929026542676,1.0,0.9215525045584152,0.935023478838588,84.391,80.447,16.66986,15.66355,13.41614,13.31281,39459.204895532974,57733.57500352735,10.0,8.387,33.18284424,100.0,100.0,60.83600000000001,69.422,No Information,No Information,100.0,No Information,100.94368,113.76286,68.92251,No Information,No Information,No Information,64.97671,21.27889391,9.87913,21134.0,91.0,No Information,14.273897077836873,26.101999999999997,25.2,No Information,No Information,No Information,520.0855209,512.0169429,517.9976609,10.691,100.0,99.0,82.0
